TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a004700,호텔야자 모란역점,1,1,Y,2022-10-03 00:00:00.000,2022-10-04 00:00:00.000,2,,모란호텔YAJA,경기 성남시 중원구 성남대로1148번길 29,경기 성남시 중원구 성남동 3266,4337266.0,4113310100.0,2022-10-03 21:52:00.000,1.0,35000,호텔숙박비
a_a000418,글래드 마포,1,1,Y,2022-08-29 00:00:00.000,2022-08-30 00:00:00.000,2,,(주)대림코퍼레이션,,,,,2022-08-29 20:26:00.000,1.0,92950,
a_a004118,넘버25 인천신포점,1,2,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,1,8248102515.0,주식회사인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005.0,1168010500.0,2022-10-02 10:03:00.000,1.0,45440,인천(신포) 넘버25 인천신포점
a_a001175,노보텔앰배서더 서울동대문호텔&레지던스,0,1,Y,2022-08-26 00:00:00.000,2022-08-28 00:00:00.000,4,,,서울 중구 을지로 238,서울 중구 을지로6가 58-5,,,,1.0,671000,
a_a008457,글래드 여의도,1,1,Y,2022-10-16 00:00:00.000,2022-10-17 00:00:00.000,1,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-10-13 02:37:00.000,1.0,99900,글래드 여의도
a_a012288,마루호텔,1,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-10-28 10:39:00.000,1.0,74400,MO-파주마루-참편한방안
a_a012019,영등포아늑,0,11,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,,,서울 영등포구 영등포로42길 21-2,서울 영등포구 영등포동3가 20-6,,,,5.0,255000,
a_a001879,르노모텔,1,2,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-09-29 02:52:00.000,3.0,60000,수원 팔달문 르노
a_a015688,다온무인텔,1,2,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,1,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-10-30 13:40:00.000,1.0,35000,파주 다온 무인텔
a_a000198,L7 명동,1,1,Y,2022-08-17 00:00:00.000,2022-08-18 00:00:00.000,2,6408500197.0,(주)호텔롯데(본사),서울 중구 퇴계로 137,서울 중구 충무로2가 62-12,3101011.0,1114012500.0,2022-08-17 13:12:00.000,1.0,100000,숙박비
a_a004541,24게스트하우스 잠실점,0,7,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,6,,,서울 송파구 백제고분로22길 5,서울 송파구 삼전동 47,,,,5.0,216000,
a_a012356,소설호텔,1,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,2140376890.0,호텔소설,서울 서초구 반포대로14길 53,서울 서초구 서초동 1594-4,4163225.0,1165010800.0,2022-10-30 14:30:00.000,1.0,107100,
a_a008580,에피소드706,0,3,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,,경기 양평군 용문면 학골길 197,경기 양평군 용문면 연수리 706,,,,1.0,144000,
a_a003068,골든서울호텔,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,1,7428600224.0,(주)위드이노베이션,경기 성남시 분당구 불정로 6,경기 성남시 분당구 정자동 178-1,3180030.0,4113510300.0,2022-09-23 23:36:00.000,1.0,109310,
a_a002650,신라스테이 광화문,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,6,,신라스테이,,,,,2022-09-04 18:34:00.000,1.0,186000,[삼성전자DS]신라스테이 광화문 9월 숙박권_22
a_a008222,그랜드팰리스호텔 인천,2,1,Y,2022-10-17 00:00:00.000,2022-10-18 00:00:00.000,1,,그랜드 팰리스호텔 인천,인천 남동구 호구포로 211,인천 남동구 논현동 647-5,3008031.0,2820011000.0,2022-10-14 00:00:00.000,1.0,2718,세금 및 봉사료
a_a008616,9월호텔,0,1,Y,2022-11-04 00:00:00.000,2022-11-05 00:00:00.000,1,,,경기 양평군 양평읍 양평장터길 11,경기 양평군 양평읍 양근리 167-1,,,,1.0,130000,
a_a001261,킨텍스바이케이트리,1,1,Y,2022-08-29 00:00:00.000,2022-09-03 00:00:00.000,1,8318600897.0,주식회사글로벌도시인,경기 고양시 일산서구 킨텍스로 255-3,경기 고양시 일산서구 대화동 2307-16,3194032.0,4128710400.0,2022-09-03 08:44:00.000,1.0,479600,
a_a000338,DMYK,1,11,Y,2022-08-24 00:00:00.000,2022-08-25 00:00:00.000,2,,에어비앤비,,,,,2022-08-08 20:05:00.000,1.0,36070,집/아파트전체-침대1개-게스트1명
a_a004145,CS호텔,2,1,Y,2022-09-30 00:00:00.000,2022-10-02 00:00:00.000,1,,은평CS,서울 은평구 진흥로 183,서울 은평구 대조동 15-129,3100020.0,1138010600.0,2022-09-28 22:55:00.000,1.0,30000,커플PC-C(다즈니플러스)
a_a001380,호텔가덴,1,1,Y,2022-09-02 00:00:00.000,2022-09-03 00:00:00.000,2,1245244619.0,호텔가덴,경기 수원시 권선구 경수대로335번길 12,,4325023.0,4111313700.0,2022-09-03 00:00:00.000,1.0,82920,SUPERIOR DOUBLE
a_a002219,프린스호텔,0,1,N,2022-09-22 00:00:00.000,2022-09-23 00:00:00.000,1,,,,,,,,3.0,60000,
a_a010249,아스트로호텔,3,1,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,아스트로호텔,경기 용인시 수지구 포은대로 479,경기 용인시 수지구 풍덕천동 82-8,2012014.0,4146510100.0,2022-10-18 16:06:00.000,3.0,120000,호텔비
a_a010135,이천미란다호텔,0,1,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,4,,,경기 이천시 중리천로115번길 45,경기 이천시 안흥동 408-1,,,,1.0,99000,
a_a000822,남이섬리베라펜션,0,3,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,2,,,경기 가평군 가평읍 북한강변로 1088-11,경기 가평군 가평읍 달전리 54-3,,,,4.0,170000,
a_a010416,S호텔,1,1,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,1,2208183676.0,㈜이베이코리아,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010.0,1168010100.0,2022-10-21 00:00:00.000,1.0,46800,"(10%카드할인)서울모텔/태릉S(태릉,노원,도봉,창동)기타"
a_a000056,호텔더스타일,2,1,Y,2022-08-09 00:00:00.000,2022-08-10 00:00:00.000,1,7428600224.0,(주)위드이노베이션,,,,,2022-08-03 09:37:00.000,1.0,25000,MO-인계동더스타일호텔-
a_a000260,AirBnB,0,11,Y,2022-08-18 00:00:00.000,2022-08-19 00:00:00.000,5,,,장수길 84,,,,,3.0,439012,
a_a001323,코이펜션,1,3,Y,2022-08-29 00:00:00.000,2022-08-30 00:00:00.000,4,,가평 코이펜션,,,,,2022-08-19 10:01:00.000,1.0,178000,가평 코이펜션
a_a003782,산운마을2단지월든힐스,0,10,N,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,1,,,경기 성남시 분당구 산운로 37,경기 성남시 분당구 운중동 874,,,,,0,
a_a001712,오라카이대학로호텔,1,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,1,,,,,,,,1.0,166697,객실1개X1박
a_a000508,롯데호텔월드,0,1,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,5,,,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,,,,4.0,400000,
a_a004964,해여림빌리지 캠핑장,0,5,Y,2022-10-04 00:00:00.000,2022-10-05 00:00:00.000,2,,,경기 여주시 산북면 해여림로 78,경기 여주시 산북면 상품리 448,,,,1.0,60000,
a_a000058,호텔리베라 청담,0,1,Y,2022-08-13 00:00:00.000,2022-08-14 00:00:00.000,2,,,서울 강남구 영동대로 737,서울 강남구 청담동 53-7,,,,1.0,115000,
a_a007506,M모텔,2,2,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,7428600224.0,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004.0,1168010500.0,2022-10-15 03:14:00.000,1.0,97000,MO-사당M-도보특가일반
a_a000266,호텔마에스트로,0,1,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,3,,,경기 안성시 양성면 안성맞춤대로 2134-36,경기 안성시 고삼면 가유리 17-30,,,,2.0,135490,
a_a002344,리버모텔,1,2,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로 108,,3122010.0,1168010100.0,2022-09-13 00:00:00.000,1.0,63000,남양주 리버 RIVER
a_a003146,코리아게스트하우스,1,7,Y,2022-10-08 00:00:00.000,2022-10-10 00:00:00.000,6,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-09-25 23:59:00.000,1.0,350000,삼청동 코리아게스트하우스
a_a002476,아지오호텔,1,1,Y,2022-09-18 00:00:00.000,2022-09-19 00:00:00.000,2,8248102515.0,주식회사인터파크,서울 강남구 삼성로 512,,3122005.0,1168010500.0,2022-09-15 16:01:00.000,1.0,60000,가평아지오호텔
a_a006165,넘버25 수원화성행궁점,1,2,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,1,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-10-17 00:00:00.000,3.0,36000,수원넘버25수원화성행궁점
a_a010237,롤링힐스호텔,1,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,3,6168127929.0,해비치호텔앤드리조트㈜,경기 화성시 남양읍 시청로 290,경기 화성시 남양읍 활초리 4-21,3210146.0,4159026225.0,2022-10-30 14:39:00.000,3.0,278300,호텔비
a_a009690,월하여관,0,2,Y,2022-10-31 00:00:00.000,2022-11-01 00:00:00.000,2,,,서울 종로구 율곡로10길 24,서울 종로구 와룡동 33,,,,1.0,35000,
a_a001391,그래비티 서울 판교 오토그래프컬렉션,1,1,Y,2022-08-28 00:00:00.000,2022-08-29 00:00:00.000,1,,호텔패스글로벌,,,,,2022-06-08 00:00:00.000,1.0,135599,그래비티서울판교오토그래프컬렉션
a_a002671,더휴식 크로와상 호텔 구리점,10,1,,,,2,,더휴식 크로와상 호텔 구리점,경기 구리시 체육관로 148,,,,,1.0,80000,호텔비
a_a003827,송도센트럴파크호텔,0,1,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,2,,,인천 연수구 테크노파크로 193,인천 연수구 송도동 38,,,,1.0,182000,
a_a006924,브라운도트호텔 종로점,0,1,Y,2022-10-11 00:00:00.000,2022-10-11 00:00:00.000,1,,,서울 종로구 수표로22길 5,서울 종로구 낙원동 169-1,,,,1.0,25000,
a_a000034,에버랜드 홈브리지캐빈호스텔,0,11,Y,2022-08-18 00:00:00.000,2022-08-19 00:00:00.000,4,,,경기 용인시 처인구 포곡읍 에버랜드로 199,경기 용인시 처인구 포곡읍 가실리 167-3,,,,1.0,150000,
a_a000021,에어비엔비,1,11,Y,2022-09-03 00:00:00.000,2022-09-03 00:00:00.000,2,,에어비앤비,,서울특별시 구로구 공원로8길 49,,,2022-08-17 00:00:00.000,1.0,64697,집/아파트전체.침대1개.게스트2명
a_a004150,킨텍스캠핑장,0,5,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,4,,,경기 고양시 일산서구 킨텍스로 217-25,경기 고양시 일산서구 대화동 2720,,,,1.0,100000,
a_a003057,호텔 베르누이 서울,0,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,2,,,서울 구로구 경인로 229,서울 구로구 오류동 31-277,,,,2.0,69000,
a_a001799,소테츠호텔즈 더스프라지르 서울명동,1,1,Y,2022-09-12 00:00:00.000,2022-09-13 00:00:00.000,2,,소테츠 호텔즈 더 스프라지르명동,서울 중구 남대문로5길 15,,4103014.0,1114011300.0,2022-09-05 00:00:00.000,1.0,60000,슈페리어 더블
a_a003031,S스테이호텔,0,1,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,1,,,경기 수원시 팔달구 갓매산로71번길 21-6,,,,,1.0,131200,
a_a000421,연천미라클타운,0,3,Y,2022-09-02 00:00:00.000,2022-09-04 00:00:00.000,3,,,경기 연천군 군남면 군중로 134,경기 연천군 군남면 옥계리 1259,,,,,0,
a_a003753,아틴마루,0,3,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,2,,,경기 양평군 서종면 가마봉1길 18-27,,,,,1.0,300000,
a_a002531,아꼬떼펜션,1,3,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,4,,아꼬떼펜션,경기 포천시 일동면 운악청계로1480번길 191,경기 포천시 일동면 기산리 1-166,4439465.0,4165037023.0,2022-09-24 00:00:00.000,1.0,230000,펜션비
a_a015211,케이힐스더테라스,0,1,Y,2022-11-05 00:00:00.000,2022-11-06 00:00:00.000,3,,,경기 파주시 심학산로 628,경기 파주시 야당동 1079,,,,1.0,127000,
a_a002198,제이드펜션,0,3,Y,2022-09-09 00:00:00.000,2022-09-10 00:00:00.000,2,,,강원 춘천시 남산면 햇골길 53,강원 춘천시 남산면 서천리 461,,,,1.0,159000,
